n,threshold,hr,category,ate,lower_ci,upper_ci
75,27,35,is_cardiothoracic_surgery,-11.416233925358512,-22.620664013972885,1.1397056787652105
66,28,35,is_cardiothoracic_surgery,-3.8628187923724795,-14.979941753917274,6.162815049722923
55,29,35,is_cardiothoracic_surgery,-1.7203250307895246,-13.692910888642785,9.148336581926714
49,30,35,is_cardiothoracic_surgery,-6.829946962220703,-19.68187943673641,2.2971709195406333
46,31,35,is_cardiothoracic_surgery,-8.348316165456936,-22.967288236155525,5.402906485161992
41,32,35,is_cardiothoracic_surgery,-7.462762561808859,-21.590239014069,1.7280501560280754
36,33,35,is_cardiothoracic_surgery,-2.863078702020971,-32.87611167424606,11.337405115523012
27,34,35,is_cardiothoracic_surgery,-16.082291712186134,-56.38006521371125,8.86065110111727
26,35,35,is_cardiothoracic_surgery,-16.34466666562699,-86.20086387156502,8.529241946108328
24,36,35,is_cardiothoracic_surgery,-13.417727363065922,-86.81683884288552,27.66417281521035
21,37,35,is_cardiothoracic_surgery,-15.136673451428322,-72.88152846241175,17.942224636403694
20,38,35,is_cardiothoracic_surgery,-19.23529765403964,-104.94856465943806,46.06744872463659
15,39,35,is_cardiothoracic_surgery,-11.312967598461285,-153.42654651172143,77.6654754348486
14,40,35,is_cardiothoracic_surgery,-2.7099589873843968,-158.89416980167996,72.4562080555481
359,5,36,is_cardiothoracic_surgery,-33.74899665790019,-47.03727876967503,-22.69524529130672
354,6,36,is_cardiothoracic_surgery,-41.03321385096564,-56.761270844574426,-28.42921585888604
341,7,36,is_cardiothoracic_surgery,-34.1823926154575,-43.19854033775684,-22.573610556482834
336,8,36,is_cardiothoracic_surgery,-28.012105245408094,-44.16829058975324,-14.370355676767218
317,9,36,is_cardiothoracic_surgery,-23.828402333319445,-32.828884493246306,-12.330866055929647
309,10,36,is_cardiothoracic_surgery,-24.836733109033162,-35.48119973577218,-17.589231340650826
298,11,36,is_cardiothoracic_surgery,-23.37959993244337,-31.597467037295473,-15.132710582388228
284,12,36,is_cardiothoracic_surgery,-24.22075695467558,-33.67748127548964,-12.844869747226795
266,13,36,is_cardiothoracic_surgery,-26.70806423205292,-36.49768589227827,-18.975336152870796
242,14,36,is_cardiothoracic_surgery,-27.295191058057384,-36.20803721711641,-20.107498673869515
220,15,36,is_cardiothoracic_surgery,-27.507995599136677,-35.75142625578354,-20.359021591107364
199,16,36,is_cardiothoracic_surgery,-27.70696558088602,-35.88946474645721,-20.583641803823156
187,17,36,is_cardiothoracic_surgery,-28.399549977087958,-35.53997662126784,-18.23787982098628
170,18,36,is_cardiothoracic_surgery,-26.896688273596908,-33.30705435175085,-19.40611146991438
156,19,36,is_cardiothoracic_surgery,-25.91934805743969,-32.94377270783997,-18.982930167135493
146,20,36,is_cardiothoracic_surgery,-23.358821852216295,-32.12831518231499,-14.397460522134622
135,21,36,is_cardiothoracic_surgery,-19.55613010556843,-26.472186321320407,-12.937981130349215
124,22,36,is_cardiothoracic_surgery,-19.021562493360364,-28.35999590275432,-10.29648445664182
112,23,36,is_cardiothoracic_surgery,-18.81702787395858,-27.159313716929717,-10.415274167766057
99,24,36,is_cardiothoracic_surgery,-15.674890387553205,-23.505604838424233,-6.263333221643165
87,25,36,is_cardiothoracic_surgery,-18.44145621011191,-26.186221780519276,-8.528325611213063
78,26,36,is_cardiothoracic_surgery,-18.12227668981714,-30.098464294553708,-7.519632236536239
70,27,36,is_cardiothoracic_surgery,-15.901286296416288,-26.15831725958887,-4.4857476412532264
62,28,36,is_cardiothoracic_surgery,-15.515959313594891,-26.707256910770383,-4.641363306231028
55,29,36,is_cardiothoracic_surgery,-14.137228436341701,-27.523701900546627,0.1293899452080609
48,30,36,is_cardiothoracic_surgery,-18.563590949393074,-31.29032036206246,-4.925707283194953
45,31,36,is_cardiothoracic_surgery,-17.609539161870288,-34.25525906824794,-7.742535762814356
39,32,36,is_cardiothoracic_surgery,-18.011255367690183,-36.70274836947101,-3.792881383875823
35,33,36,is_cardiothoracic_surgery,-15.60572473025232,-43.467446730732235,1.4810592162379521
29,34,36,is_cardiothoracic_surgery,-14.85862892856261,-40.95944233176016,11.595348644201977
26,35,36,is_cardiothoracic_surgery,-16.662781259283122,-57.39147190973611,19.23716825888792
22,36,36,is_cardiothoracic_surgery,-14.138364596292575,-128.24800395353952,92.80265034229194
19,37,36,is_cardiothoracic_surgery,-24.483137734381472,-102.52350537762979,112.75594726419871
17,38,36,is_cardiothoracic_surgery,-24.91611389683868,-143.78565588701326,144.07839691901378
14,39,36,is_cardiothoracic_surgery,-1.810259661893582,-94.59229363884998,152.11444120759865
14,40,36,is_cardiothoracic_surgery,-1.810259661893582,-225.4887722146081,132.92500295761286
357,5,37,is_cardiothoracic_surgery,-21.301608108360597,-34.05008360379105,-10.532862713732186
351,6,37,is_cardiothoracic_surgery,-21.665204765051925,-38.295044116155736,-10.568631230060532
341,7,37,is_cardiothoracic_surgery,-26.72008378976855,-39.41449794644947,-11.868524457475871
327,8,37,is_cardiothoracic_surgery,-27.688813295710275,-37.75786336953348,-14.079265945505682
314,9,37,is_cardiothoracic_surgery,-24.005414915258257,-33.16986064795071,-14.426773616471309
304,10,37,is_cardiothoracic_surgery,-24.19825984066756,-35.70363618450932,-16.155946846049346
300,11,37,is_cardiothoracic_surgery,-22.59937568980206,-31.70616631961147,-12.58269733132056
282,12,37,is_cardiothoracic_surgery,-23.499371018065602,-32.94796151259456,-16.416937359780064
263,13,37,is_cardiothoracic_surgery,-20.392018265751233,-27.955668681917814,-13.839610247817006
246,14,37,is_cardiothoracic_surgery,-20.638728742851924,-27.480162336891794,-14.593108827947901
227,15,37,is_cardiothoracic_surgery,-22.561930096841138,-31.962312488209193,-16.069678955339498
208,16,37,is_cardiothoracic_surgery,-21.906214026773455,-30.07088961298183,-13.738220299636481
193,17,37,is_cardiothoracic_surgery,-25.850609556460995,-33.15499914976624,-19.733360077849994
178,18,37,is_cardiothoracic_surgery,-24.10287937889197,-31.85187970848571,-16.349891455185116
162,19,37,is_cardiothoracic_surgery,-22.21219140464504,-29.711875023965916,-14.761487522129244
152,20,37,is_cardiothoracic_surgery,-21.341493794509745,-31.797797612897483,-12.779813710828506
139,21,37,is_cardiothoracic_surgery,-19.1523259879462,-26.601486791132544,-10.913410738011379
128,22,37,is_cardiothoracic_surgery,-15.324978827422427,-23.188791445067494,-6.463708578348985
116,23,37,is_cardiothoracic_surgery,-15.262507461459876,-23.54667402063407,-4.376936400652227
106,24,37,is_cardiothoracic_surgery,-15.552347771771224,-25.832242729066706,-4.6585971941347
95,25,37,is_cardiothoracic_surgery,-16.194825419399052,-27.06879875292401,-5.397874874316386
87,26,37,is_cardiothoracic_surgery,-13.78906437719607,-24.725169347822145,-5.471896368862474
73,27,37,is_cardiothoracic_surgery,-14.29528631723528,-25.326585714220613,-2.773933756688052
63,28,37,is_cardiothoracic_surgery,-9.141321838655557,-23.670707922328745,0.5761841617659798
52,29,37,is_cardiothoracic_surgery,-13.80364490434485,-32.68592341588794,-6.135322322067651
49,30,37,is_cardiothoracic_surgery,-13.280053197014524,-30.88902753170055,-3.129328998068303
45,31,37,is_cardiothoracic_surgery,-12.412431177355273,-29.925405903877504,0.998794082676568
40,32,37,is_cardiothoracic_surgery,-15.38358562271253,-43.780649276100036,-2.42744023133028
36,33,37,is_cardiothoracic_surgery,-16.556163237312006,-49.41991388734695,-4.393844122739779
33,34,37,is_cardiothoracic_surgery,-17.479105098881774,-48.40538324153033,7.690135051035412
23,35,37,is_cardiothoracic_surgery,-8.38103401699155,-108.6948195283687,50.25274968579785
21,36,37,is_cardiothoracic_surgery,-15.094447383623589,-118.87056946737962,61.36903461208561
20,37,37,is_cardiothoracic_surgery,-13.352364555570603,-151.73451231506417,138.4491713199582
17,38,37,is_cardiothoracic_surgery,-19.776514264437452,-325.14230883532537,172.09397988067525
15,39,37,is_cardiothoracic_surgery,-17.231297012302377,-222.98178001498496,76.69146707070598
12,40,37,is_cardiothoracic_surgery,-322.1395530479221,-868.1557826263788,-525.5807878340808
355,5,38,is_cardiothoracic_surgery,-32.99685247790106,-43.965582446924,-20.479964921774098
347,6,38,is_cardiothoracic_surgery,-37.70018728320963,-50.853975075997226,-28.648214330698096
341,7,38,is_cardiothoracic_surgery,-34.09810088827652,-44.06097082583068,-26.6270681381271
327,8,38,is_cardiothoracic_surgery,-26.43650791446086,-36.79936534029383,-16.24870463742033
316,9,38,is_cardiothoracic_surgery,-21.635046703597112,-32.19567133485194,-9.505373478833121
309,10,38,is_cardiothoracic_surgery,-21.180958127318434,-30.19353764429343,-11.295913916964281
293,11,38,is_cardiothoracic_surgery,-21.736331545370405,-30.8045611975966,-13.261927760740008
284,12,38,is_cardiothoracic_surgery,-22.799569728472562,-34.74044906417927,-14.769160055242963
264,13,38,is_cardiothoracic_surgery,-22.51814042374636,-30.333913947191434,-14.60205592928503
242,14,38,is_cardiothoracic_surgery,-21.543121059143658,-28.328191186684535,-14.4577419217039
227,15,38,is_cardiothoracic_surgery,-21.19033720335176,-30.300102232325855,-13.478469019337666
210,16,38,is_cardiothoracic_surgery,-20.75924822932504,-29.812197780103304,-14.584345537356654
188,17,38,is_cardiothoracic_surgery,-25.238954741302734,-31.893752071285377,-19.07246814551823
175,18,38,is_cardiothoracic_surgery,-22.335205921970072,-32.047621944555516,-15.143470963765225
159,19,38,is_cardiothoracic_surgery,-21.32584297199972,-27.844840313805037,-13.078563856984118
150,20,38,is_cardiothoracic_surgery,-19.122142293870894,-26.275693342581945,-12.475407869382508
138,21,38,is_cardiothoracic_surgery,-17.262502280184606,-25.814630622838138,-10.669946653815032
129,22,38,is_cardiothoracic_surgery,-15.75423339744421,-23.582282396796927,-7.203582275910094
119,23,38,is_cardiothoracic_surgery,-15.594536133411964,-25.92571717472478,-8.171145388673239
104,24,38,is_cardiothoracic_surgery,-14.405349266486922,-23.892208335668954,-5.9211372215402776
100,25,38,is_cardiothoracic_surgery,-14.138008545006244,-23.23291608769776,-5.9446475211511824
89,26,38,is_cardiothoracic_surgery,-15.803954480891946,-26.6745685902483,-8.166596647530525
78,27,38,is_cardiothoracic_surgery,-16.20310237408131,-27.75299317933127,-7.067596526227248
67,28,38,is_cardiothoracic_surgery,-16.111865737678528,-28.603545130075332,-6.09632748322079
59,29,38,is_cardiothoracic_surgery,-18.943035366076373,-33.13622208330085,-9.694940281583143
53,30,38,is_cardiothoracic_surgery,-18.576438682894207,-35.31679914296757,-10.574337122256424
51,31,38,is_cardiothoracic_surgery,-18.060382648635283,-36.24655954033915,-8.124048496995101
42,32,38,is_cardiothoracic_surgery,-19.519396651417367,-36.70606228376829,-9.44601624593389
39,33,38,is_cardiothoracic_surgery,-20.09851081978266,-46.423143046012996,-8.702988205688797
36,34,38,is_cardiothoracic_surgery,-17.566581430144254,-39.429413957709414,-9.245900990293364
29,35,38,is_cardiothoracic_surgery,-23.92374340618963,-56.74873465082763,0.9863894317209656
26,36,38,is_cardiothoracic_surgery,-26.659882311834764,-54.09891191355112,-7.640428564448769
24,37,38,is_cardiothoracic_surgery,-18.196986392510752,-43.497616161890136,3.8493233266265463
21,38,38,is_cardiothoracic_surgery,-13.71822929576328,-119.85641609351211,84.91483841249438
20,39,38,is_cardiothoracic_surgery,-11.108811364142298,-80.32118629998448,110.49897115835097
18,40,38,is_cardiothoracic_surgery,-25.675627103864883,-200.94882360085722,19.75308176447473
356,5,39,is_cardiothoracic_surgery,-16.92949866306941,-37.33565262569209,10.967939701618661
342,6,39,is_cardiothoracic_surgery,-28.494251197337576,-43.449323401258,-10.422485820642493
334,7,39,is_cardiothoracic_surgery,-27.40058501134152,-38.75967683987628,-14.58789096103419
322,8,39,is_cardiothoracic_surgery,-26.08696189621955,-36.49381803370832,-16.262353760791967
303,9,39,is_cardiothoracic_surgery,-23.834968642908564,-33.216560427578514,-15.87460759573193
291,10,39,is_cardiothoracic_surgery,-20.624240685489383,-29.932638969369236,-13.777461076597092
284,11,39,is_cardiothoracic_surgery,-24.207167025741626,-34.44988056403594,-16.161382321111688
275,12,39,is_cardiothoracic_surgery,-23.362376261819946,-30.072741098271422,-13.739294868682151
253,13,39,is_cardiothoracic_surgery,-28.253431293922546,-36.58577711810375,-20.980838935295537
238,14,39,is_cardiothoracic_surgery,-26.322798774839868,-34.14741218751891,-18.83714040068446
220,15,39,is_cardiothoracic_surgery,-24.67133636215175,-35.42810036716861,-18.214438638852954
203,16,39,is_cardiothoracic_surgery,-23.19683096995189,-30.99879789752208,-16.49145046027928
181,17,39,is_cardiothoracic_surgery,-24.437215282778084,-31.03894041071203,-15.41674676859381
173,18,39,is_cardiothoracic_surgery,-24.79024969769887,-32.11656420197366,-19.42518070199725
161,19,39,is_cardiothoracic_surgery,-21.995925718484102,-30.738297246632612,-14.192838852975711
151,20,39,is_cardiothoracic_surgery,-21.232639092166295,-30.910409265926432,-14.95251592518008
134,21,39,is_cardiothoracic_surgery,-17.570083031594038,-25.370257186328672,-10.036548277994058
128,22,39,is_cardiothoracic_surgery,-17.564593420121184,-25.92035322195511,-10.275739529877512
113,23,39,is_cardiothoracic_surgery,-17.448393415946356,-26.83164478224768,-10.189351003926134
104,24,39,is_cardiothoracic_surgery,-15.514395745836651,-25.277010535853776,-7.089018506091975
94,25,39,is_cardiothoracic_surgery,-14.938198156164248,-26.104105177447764,-7.035417438596937
88,26,39,is_cardiothoracic_surgery,-12.423491887467094,-21.87971155939337,-2.826880944874574
78,27,39,is_cardiothoracic_surgery,-13.342994110214505,-23.795537682188495,-3.123517682913757
71,28,39,is_cardiothoracic_surgery,-11.314315106810653,-23.19471841452244,0.5238698860349018
60,29,39,is_cardiothoracic_surgery,-11.607616842947323,-23.110817149030282,0.7323965360689328
55,30,39,is_cardiothoracic_surgery,-9.786544467984783,-24.888788454361332,0.6101587040154755
49,31,39,is_cardiothoracic_surgery,-9.694981588129508,-27.7420751627823,-0.9129868326096187
44,32,39,is_cardiothoracic_surgery,-4.989323224431018,-22.187615243106876,10.034101544193021
38,33,39,is_cardiothoracic_surgery,-4.976774061895668,-23.153557632467198,7.264460681193782
31,34,39,is_cardiothoracic_surgery,-7.555575919189522,-29.60629437524193,19.683483301156343
26,35,39,is_cardiothoracic_surgery,-3.7160363561407905,-36.46855978139109,38.82503952984567
23,36,39,is_cardiothoracic_surgery,-8.330794176848116,-101.81906009719688,30.510375037282557
19,37,39,is_cardiothoracic_surgery,-2.9963259944094034,-102.30906114592923,65.60286756005578
17,38,39,is_cardiothoracic_surgery,-10.862147123096662,-164.55479026284212,210.59496878506468
14,39,39,is_cardiothoracic_surgery,31.86888875291001,-45.025156853194346,134.19762542218996
11,40,39,is_cardiothoracic_surgery,14.209889263089792,-7.9607735063541725,72.57499884186777
346,5,40,is_cardiothoracic_surgery,-18.253760971594374,-29.96270300616459,-8.375842238494187
332,6,40,is_cardiothoracic_surgery,-28.850920574518625,-41.03460165441652,-18.74550386732807
324,7,40,is_cardiothoracic_surgery,-28.187123237702167,-36.10135604282681,-19.04984200219519
316,8,40,is_cardiothoracic_surgery,-28.284129813130363,-38.1079374351242,-19.472446766262806
307,9,40,is_cardiothoracic_surgery,-28.841428857589335,-38.07271969727367,-19.286551432975557
293,10,40,is_cardiothoracic_surgery,-26.385006958319735,-35.046140619738736,-17.767101727800508
276,11,40,is_cardiothoracic_surgery,-26.843073780696415,-34.51052280206068,-18.37225109952064
264,12,40,is_cardiothoracic_surgery,-27.194154305993465,-33.794896760132616,-19.810681136895937
254,13,40,is_cardiothoracic_surgery,-27.586657636827624,-35.80184409192631,-19.70177167801549
233,14,40,is_cardiothoracic_surgery,-26.298874616424257,-34.83381320639313,-19.625909237274016
218,15,40,is_cardiothoracic_surgery,-25.00571234858404,-33.068142115254034,-18.092326622493573
202,16,40,is_cardiothoracic_surgery,-24.26698011877488,-31.62099576131348,-16.602420663203333
183,17,40,is_cardiothoracic_surgery,-26.20508546398665,-34.69585556316096,-19.60536098852282
163,18,40,is_cardiothoracic_surgery,-27.808396133780235,-35.18252186558448,-19.201735820938012
146,19,40,is_cardiothoracic_surgery,-26.548173415576315,-33.797668264972685,-17.74320031495475
137,20,40,is_cardiothoracic_surgery,-24.732529372589113,-32.719325764597386,-15.911189991827598
125,21,40,is_cardiothoracic_surgery,-23.12744038326545,-30.137695282830208,-15.345608499816962
118,22,40,is_cardiothoracic_surgery,-24.35326535791515,-30.402022934351464,-15.678045289997158
110,23,40,is_cardiothoracic_surgery,-22.737253111888094,-31.91822441570048,-15.734985405848306
97,24,40,is_cardiothoracic_surgery,-19.288356247874276,-27.641549126840914,-9.365576550509644
93,25,40,is_cardiothoracic_surgery,-19.411127520476015,-28.318547635333914,-11.242080203607117
86,26,40,is_cardiothoracic_surgery,-14.555568383291273,-24.683708656216538,-4.575152843366908
81,27,40,is_cardiothoracic_surgery,-13.424972540035895,-25.379885993075362,-3.736360698538647
70,28,40,is_cardiothoracic_surgery,-10.928371605721026,-24.404165822862154,-0.3214529870566025
64,29,40,is_cardiothoracic_surgery,-5.658098775273089,-16.17391691057668,6.516784205661395
51,30,40,is_cardiothoracic_surgery,-4.90220848468644,-19.24845158007946,7.419102913114614
48,31,40,is_cardiothoracic_surgery,-7.500447588187228,-21.236178771439995,6.052135400173
45,32,40,is_cardiothoracic_surgery,-7.752360884074193,-23.276422001015334,1.8454893028874437
38,33,40,is_cardiothoracic_surgery,-13.839562298134695,-36.54989165822295,1.1671725769954833
36,34,40,is_cardiothoracic_surgery,-12.04786729126937,-31.91933517844899,5.207497133107438
28,35,40,is_cardiothoracic_surgery,-22.556406980116407,-69.77979330335955,-1.8723557115665983
24,36,40,is_cardiothoracic_surgery,-12.782067074992767,-114.8479859819519,18.570254543525834
22,37,40,is_cardiothoracic_surgery,-14.053233343676482,-109.16438843448483,96.49931251323264
20,38,40,is_cardiothoracic_surgery,-13.693484030083283,-197.8616047987072,35.73031642261921
18,39,40,is_cardiothoracic_surgery,-9.537585208429647,-160.37277188616102,108.53771511226883
15,40,40,is_cardiothoracic_surgery,-21.6164106080507,-179.47434336532214,23.12995924117095
344,5,41,is_cardiothoracic_surgery,-24.209840013478896,-47.08413727277761,-3.5618583125919088
335,6,41,is_cardiothoracic_surgery,-26.874507971640355,-43.72697016066746,-9.802296153191634
326,7,41,is_cardiothoracic_surgery,-31.21573543899501,-43.52191476017083,-16.434317282422228
313,8,41,is_cardiothoracic_surgery,-32.384868325070386,-43.61558239246895,-21.74597902952965
300,9,41,is_cardiothoracic_surgery,-31.31040499756935,-41.06756113242474,-20.679596722719623
290,10,41,is_cardiothoracic_surgery,-30.638857164359734,-40.36262451052812,-21.724581687478462
278,11,41,is_cardiothoracic_surgery,-26.757975744876802,-36.58357414389292,-18.469817327557877
261,12,41,is_cardiothoracic_surgery,-27.018272544277778,-34.00729738313461,-19.167585856939354
248,13,41,is_cardiothoracic_surgery,-27.89280982004894,-35.25608758283556,-19.486371042366642
234,14,41,is_cardiothoracic_surgery,-26.954628945086768,-35.429281997150156,-19.39059862880643
219,15,41,is_cardiothoracic_surgery,-27.16066072675099,-35.05511987670769,-20.294072683471114
195,16,41,is_cardiothoracic_surgery,-28.09671653572653,-34.76434636988151,-19.96127158692093
181,17,41,is_cardiothoracic_surgery,-28.487410412205918,-36.72418969467955,-20.51121226840283
167,18,41,is_cardiothoracic_surgery,-29.991633358879426,-38.899455634220004,-23.094551437125318
153,19,41,is_cardiothoracic_surgery,-28.040926764816362,-36.0810644598464,-19.986233696178203
141,20,41,is_cardiothoracic_surgery,-24.136804188610284,-31.667343173476922,-16.42596109225113
128,21,41,is_cardiothoracic_surgery,-24.299229009315894,-33.19834377631358,-16.286913340100995
120,22,41,is_cardiothoracic_surgery,-24.86751953630852,-32.33687638705848,-17.173752615556452
116,23,41,is_cardiothoracic_surgery,-24.312759497417034,-33.582041136295175,-16.492444446193787
106,24,41,is_cardiothoracic_surgery,-21.05446452342403,-29.978813120250493,-13.860885194605856
94,25,41,is_cardiothoracic_surgery,-18.35685171546004,-25.240199376049787,-7.161060183874042
81,26,41,is_cardiothoracic_surgery,-16.9143554609349,-24.243924075847815,-7.324712006923903
72,27,41,is_cardiothoracic_surgery,-14.555125607761454,-27.094968396584306,-4.052913861566509
66,28,41,is_cardiothoracic_surgery,-15.470693315438837,-30.1012984427918,-5.366775759561591
59,29,41,is_cardiothoracic_surgery,-6.760057211141287,-15.933188149078262,3.565196738721454
56,30,41,is_cardiothoracic_surgery,-6.674553846359942,-18.54212916199606,4.675575957603371
50,31,41,is_cardiothoracic_surgery,-5.034499337601687,-18.481886221797282,6.229192965458537
40,32,41,is_cardiothoracic_surgery,1.6068014374598363,-14.7850659424858,19.361770796588416
37,33,41,is_cardiothoracic_surgery,-0.23204307562681947,-21.770341326328804,15.701931706413035
33,34,41,is_cardiothoracic_surgery,4.6280852843269145,-14.955144903865886,25.071648057581513
27,35,41,is_cardiothoracic_surgery,2.834012833132391,-28.18695930844754,55.00468696621087
25,36,41,is_cardiothoracic_surgery,-2.650562584513409,-49.47368070659306,29.848199539884263
21,37,41,is_cardiothoracic_surgery,-8.906777002822338,-91.37913493362541,155.39393697816377
19,38,41,is_cardiothoracic_surgery,-9.7559558524502,-62.452271523086154,64.01554523262456
16,39,41,is_cardiothoracic_surgery,-7.668021524746763,-150.58145270284126,90.30606204312383
13,40,41,is_cardiothoracic_surgery,-7.189036622569148,-157.4152525511803,73.98169409663511
336,5,42,is_cardiothoracic_surgery,-26.868753634605582,-43.45027548696655,-15.18012676533769
326,6,42,is_cardiothoracic_surgery,-24.413674260016478,-36.51759776935535,-14.104671185926804
318,7,42,is_cardiothoracic_surgery,-29.957821238220305,-40.947316820133494,-18.625809473606296
310,8,42,is_cardiothoracic_surgery,-34.662912821876745,-44.12049728722792,-23.396459960879156
303,9,42,is_cardiothoracic_surgery,-37.22310322872417,-46.62933582268394,-28.303441380153913
292,10,42,is_cardiothoracic_surgery,-28.33071090344339,-39.737116096543275,-19.755179274821757
281,11,42,is_cardiothoracic_surgery,-27.463920379942948,-37.3401245505257,-18.023470793829546
260,12,42,is_cardiothoracic_surgery,-26.912294031802617,-35.381723946819505,-18.591619230276308
249,13,42,is_cardiothoracic_surgery,-27.66411969377137,-36.26809249281868,-21.387671768615633
234,14,42,is_cardiothoracic_surgery,-26.55020720421041,-35.81720639066299,-18.88733658078081
222,15,42,is_cardiothoracic_surgery,-23.063793499851272,-32.50980639871079,-15.252886165497358
206,16,42,is_cardiothoracic_surgery,-27.144815277834,-35.326054493736194,-20.273779645269315
190,17,42,is_cardiothoracic_surgery,-26.904860668651224,-35.318491493416985,-20.45447019892802
176,18,42,is_cardiothoracic_surgery,-23.032096197757625,-29.308760696721237,-16.07939555201014
164,19,42,is_cardiothoracic_surgery,-24.232967718313432,-32.020325093549474,-17.16877435256734
148,20,42,is_cardiothoracic_surgery,-22.08409828939719,-30.32413943609302,-16.010566287840135
141,21,42,is_cardiothoracic_surgery,-21.47834753941831,-28.240445013759512,-11.237226194089317
127,22,42,is_cardiothoracic_surgery,-21.127169187611372,-29.036504745358314,-12.430693062860541
116,23,42,is_cardiothoracic_surgery,-16.11917460514198,-23.42194918851078,-7.198689756172229
105,24,42,is_cardiothoracic_surgery,-16.916481358278048,-24.228368474696993,-10.047545782043187
95,25,42,is_cardiothoracic_surgery,-18.730067429331257,-26.49347065970079,-9.9139606312809
84,26,42,is_cardiothoracic_surgery,-17.424785820099487,-26.02406180681794,-6.893683263268429
72,27,42,is_cardiothoracic_surgery,-17.141127473557503,-29.118195651180855,-8.628478355144779
68,28,42,is_cardiothoracic_surgery,-16.899069544783288,-27.822503537235946,-9.43867651950859
62,29,42,is_cardiothoracic_surgery,-13.108037155886734,-26.037206219805398,-3.324950048055598
54,30,42,is_cardiothoracic_surgery,-13.822702996802718,-28.34976379029021,-4.935352581756746
51,31,42,is_cardiothoracic_surgery,-14.358462609822993,-29.311653333409737,-5.0303403033380505
47,32,42,is_cardiothoracic_surgery,-8.214921759710364,-21.200403145914578,2.574204347893584
39,33,42,is_cardiothoracic_surgery,-7.648120865888643,-30.684201257299264,3.9446911014060504
35,34,42,is_cardiothoracic_surgery,3.056595532608867,-18.468707199346397,35.57710918699209
29,35,42,is_cardiothoracic_surgery,1.4901073165692367,-37.557230175794984,39.47490932907078
26,36,42,is_cardiothoracic_surgery,1.7461877114144784,-75.45374029152822,41.305321159367054
22,37,42,is_cardiothoracic_surgery,4.346523940577185,-64.80836428102728,72.61491511697471
19,38,42,is_cardiothoracic_surgery,1.4520395087768065,-149.61289041942797,107.86089302069527
15,39,42,is_cardiothoracic_surgery,7.247980521097219,-121.86426924490229,130.9512041054819
14,40,42,is_cardiothoracic_surgery,4.840661824200453,-120.10870189635938,145.48420247404096
334,5,43,is_cardiothoracic_surgery,-32.60901914566671,-49.70775774536341,-14.61394443573505
325,6,43,is_cardiothoracic_surgery,-35.464593341322,-48.76429869174916,-24.389855675533028
311,7,43,is_cardiothoracic_surgery,-36.07940081774208,-49.685799071905365,-23.72809264876119
300,8,43,is_cardiothoracic_surgery,-34.38401749207529,-48.22210664178263,-23.686414343596113
290,9,43,is_cardiothoracic_surgery,-31.346694459903944,-41.95946002786448,-21.491549110211423
284,10,43,is_cardiothoracic_surgery,-30.612294331212894,-40.3831258679885,-21.856333721104306
276,11,43,is_cardiothoracic_surgery,-28.88155940123127,-42.133234122072196,-19.459394207174597
259,12,43,is_cardiothoracic_surgery,-21.85662211041557,-29.921321640706623,-13.503291635245063
244,13,43,is_cardiothoracic_surgery,-21.327062806978887,-31.14702818316829,-12.927850542942508
228,14,43,is_cardiothoracic_surgery,-24.11990323095415,-33.31116065890072,-17.051408339126624
215,15,43,is_cardiothoracic_surgery,-23.290942264244734,-31.704236505968936,-16.612340457784285
203,16,43,is_cardiothoracic_surgery,-25.30451027708054,-33.18834073360446,-20.441729670013956
192,17,43,is_cardiothoracic_surgery,-26.559521656517177,-35.47937692210232,-18.169697214173482
179,18,43,is_cardiothoracic_surgery,-23.65393896201462,-32.23695288875206,-16.792182268520378
165,19,43,is_cardiothoracic_surgery,-22.279871863219114,-31.81295097059703,-16.194735518741084
144,20,43,is_cardiothoracic_surgery,-20.656040630118383,-28.648616194093563,-13.23687576111709
134,21,43,is_cardiothoracic_surgery,-20.401170453247772,-27.255428619093834,-13.629355596500744
123,22,43,is_cardiothoracic_surgery,-20.31711315691669,-29.414288854956737,-12.749389422095078
111,23,43,is_cardiothoracic_surgery,-16.9449264132501,-26.77588705796964,-9.935582709982384
102,24,43,is_cardiothoracic_surgery,-16.658777462309217,-26.92045636853811,-5.7963896071259455
89,25,43,is_cardiothoracic_surgery,-16.84216041636833,-26.92688453958445,-7.596857925287651
81,26,43,is_cardiothoracic_surgery,-15.773663948951679,-27.262421369296447,-8.003652864694203
71,27,43,is_cardiothoracic_surgery,-12.23167269929425,-26.136582622509735,-5.004830619365748
69,28,43,is_cardiothoracic_surgery,-12.933874991097895,-24.30579218475998,-1.5450172377240392
61,29,43,is_cardiothoracic_surgery,-7.35234106642929,-16.452008698788035,2.8621321721138884
59,30,43,is_cardiothoracic_surgery,-7.028377568252722,-17.83902709998847,2.081526530295804
53,31,43,is_cardiothoracic_surgery,-3.5949480000583094,-14.12910818483303,8.984980959298241
43,32,43,is_cardiothoracic_surgery,-4.870355750766038,-20.35936473935621,8.104813287184527
37,33,43,is_cardiothoracic_surgery,-2.5583187925531092,-24.918764219977504,14.646132300022742
31,34,43,is_cardiothoracic_surgery,-8.49113387489939,-44.81172456789821,17.559315917972157
27,35,43,is_cardiothoracic_surgery,7.583287123318598,-55.13374620718142,85.0760508426934
21,36,43,is_cardiothoracic_surgery,-0.19614323402683453,-303.05924107879196,371.7009251527528
