n,threshold,hr,category,ate,lower_ci,upper_ci
2078,23,2,is_iv,-45.77938826687878,-48.84162463616144,-43.24115621070101
1853,24,2,is_iv,-45.925243437625056,-48.57013364947517,-43.46987473505908
1663,25,2,is_iv,-47.53781013340239,-50.3962317932735,-44.51229378433493
1498,26,2,is_iv,-48.83198255880865,-51.88769388754889,-46.45802335929787
1343,27,2,is_iv,-48.37436953270628,-52.40038260721241,-45.584684086915445
1197,28,2,is_iv,-48.949512572346094,-52.128026887225104,-44.99553680751319
1090,29,2,is_iv,-49.37646299287593,-52.88980641598545,-46.30429977744467
997,30,2,is_iv,-50.57742313190039,-54.65693032026877,-47.40802180725507
914,31,2,is_iv,-51.550039643094436,-56.122221700345364,-47.44108774940349
809,32,2,is_iv,-51.230009585323984,-55.892878486817324,-46.56833159054705
716,33,2,is_iv,-53.17604712218622,-59.89870227907687,-48.10314395989525
635,34,2,is_iv,-53.74833125999862,-59.02094798197092,-48.910800903722276
560,35,2,is_iv,-55.11331187975128,-60.687166432429535,-50.27617049917242
518,36,2,is_iv,-54.51434032591115,-61.34187392638367,-48.13904294373185
466,37,2,is_iv,-54.35322468714685,-60.43672073522342,-48.61708619404456
430,38,2,is_iv,-54.68765858372541,-61.784339044446114,-49.67926436944259
380,39,2,is_iv,-57.16951558348194,-63.47371634278994,-49.18946593591011
348,40,2,is_iv,-57.66395324771639,-64.76095559516284,-51.759609146634205
12058,5,3,is_iv,-29.08798449692918,-34.50654771362014,-22.951472892349017
11880,6,3,is_iv,-30.00422039630743,-34.980909180939875,-25.637397330204493
11545,7,3,is_iv,-28.215265222038767,-31.451942599843306,-25.3043123613202
10978,8,3,is_iv,-30.504010518873486,-32.48477259835275,-28.511813976954613
10146,9,3,is_iv,-30.358530383673695,-32.108268578154366,-28.938811387788235
9168,10,3,is_iv,-30.958918348777928,-32.733592489426144,-29.329602836444707
8191,11,3,is_iv,-32.168213850110476,-33.56522439329868,-30.98629657581506
7329,12,3,is_iv,-34.526571056763714,-35.90413386583393,-33.199346180485435
6515,13,3,is_iv,-35.40459842027704,-37.07138523240204,-33.926848452457506
5790,14,3,is_iv,-36.79179708053931,-38.140842208760546,-35.51205419684712
